frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
185,0,6.133,0.77,1,0.708518,0.140591,-0.691546,0.630696,0.147306,-0.761921,0.745,0.196
186,0,6.167,0.77,1,0.706659,0.171605,-0.686429,0.626245,0.175198,-0.759686,0.745,0.235
187,0,6.200,0.88,1,0.697360,0.201274,-0.687879,0.613449,0.204124,-0.762898,0.735,0.272
188,0,6.233,0.88,1,0.691144,0.216587,-0.689499,0.604889,0.217252,-0.766101,0.727,0.290
189,0,6.267,0.88,1,0.679333,0.230401,-0.696723,0.592786,0.228251,-0.772338,0.714,0.303
190,0,6.300,0.88,1,0.676196,0.241407,-0.696047,0.585298,0.235551,-0.775849,0.709,0.313
191,0,6.333,0.88,1,0.680762,0.242622,-0.691157,0.585955,0.232783,-0.776188,0.712,0.313
192,0,6.367,0.88,1,0.674759,0.236712,-0.699048,0.579730,0.223721,-0.783493,0.702,0.301
193,0,6.400,0.88,1,0.668684,0.227302,-0.707952,0.574485,0.210800,-0.790905,0.692,0.284
194,0,6.433,0.88,1,0.669585,0.225098,-0.707804,0.569300,0.205289,-0.796086,0.689,0.279
195,0,6.467,0.88,1,0.669849,0.215485,-0.710541,0.575728,0.194691,-0.794124,0.691,0.266
196,0,6.500,0.88,1,0.672276,0.223393,-0.705790,0.587400,0.200868,-0.783973,0.702,0.277
197,0,6.533,0.88,1,0.672752,0.240616,-0.699649,0.598786,0.218357,-0.770568,0.713,0.303
198,0,6.567,0.88,1,0.671063,0.238642,-0.701944,0.596595,0.215382,-0.773101,0.710,0.299
199,0,6.600,0.88,1,0.677577,0.216628,-0.702824,0.598040,0.194178,-0.777588,0.711,0.271
200,0,6.633,0.88,1,0.684738,0.196957,-0.701670,0.601096,0.175155,-0.779746,0.715,0.246
201,0,6.667,0.88,1,0.683327,0.183331,-0.706720,0.587072,0.164090,-0.792730,0.703,0.228
202,0,6.700,0.93,1,0.682777,0.168276,-0.710984,0.589791,0.147615,-0.793950,0.702,0.207
203,0,6.733,0.88,1,0.686055,0.162696,-0.709125,0.594200,0.142919,-0.791518,0.706,0.201
204,0,6.767,0.88,1,0.686053,0.173903,-0.706463,0.596073,0.153185,-0.788182,0.709,0.215
205,0,6.800,0.88,1,0.684275,0.184659,-0.705456,0.600635,0.165615,-0.782182,0.712,0.231
206,0,6.833,0.88,1,0.681867,0.179289,-0.709164,0.599768,0.161929,-0.783618,0.709,0.225
207,0,6.867,0.88,1,0.668247,0.184724,-0.720641,0.587236,0.165149,-0.792388,0.693,0.227
208,0,6.900,0.88,1,0.655115,0.180175,-0.733731,0.569324,0.162594,-0.805874,0.672,0.219
209,0,6.933,0.88,1,0.645300,0.152867,-0.748478,0.546572,0.135151,-0.826434,0.648,0.181
210,0,6.967,0.88,1,0.634587,0.108862,-0.765146,0.529842,0.087821,-0.843537,0.627,0.122
211,0,7.000,0.93,1,0.601878,0.047685,-0.797163,0.494094,0.022990,-0.869104,0.582,0.042
212,0,7.033,0.98,1,0.555374,0.026152,-0.831189,0.439450,-0.000588,-0.898267,0.522,0.015
213,0,7.067,0.88,1,0.527163,0.056095,-0.847911,0.402117,0.030260,-0.915088,0.485,0.049
214,0,7.100,0.98,1,0.500989,0.083508,-0.861416,0.378617,0.059688,-0.923627,0.458,0.080
215,0,7.133,0.98,1,0.491901,0.092212,-0.865754,0.368107,0.068845,-0.927231,0.447,0.090
216,0,7.167,0.98,1,0.472107,0.089080,-0.877029,0.347313,0.064799,-0.935508,0.425,0.085
217,0,7.200,0.88,1,0.430427,0.070369,-0.899878,0.305526,0.046906,-0.951028,0.378,0.063
218,0,7.233,0.77,1,0.317725,0.046423,-0.947046,0.188081,0.021957,-0.981908,0.256,0.035
219,0,7.267,0.88,1,0.529240,0.111643,-0.841095,0.403838,0.095537,-0.909828,0.490,0.118
220,0,7.300,0.88,1,0.500087,0.092701,-0.860999,0.382840,0.076183,-0.920668,0.460,0.095
221,0,7.333,0.88,1,0.532690,0.109830,-0.839154,0.409168,0.090696,-0.907940,0.494,0.114
222,0,7.367,0.88,1,0.543209,0.112433,-0.832035,0.418427,0.093845,-0.903389,0.506,0.118
223,0,7.400,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
224,0,7.433,0.52,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
225,0,7.467,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
226,0,7.500,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
227,0,7.533,0.88,1,0.580840,0.134133,-0.802891,0.461929,0.110195,-0.880045,0.555,0.144
228,0,7.567,0.88,1,0.587711,0.132066,-0.798219,0.473996,0.108586,-0.873806,0.566,0.143
229,0,7.600,0.88,1,0.566950,0.120861,-0.814838,0.456131,0.096910,-0.884620,0.542,0.127
230,0,7.633,0.88,1,0.581498,0.114749,-0.805414,0.467616,0.091628,-0.879170,0.557,0.122
231,0,7.667,0.88,1,0.591142,0.119382,-0.797684,0.479217,0.096498,-0.872376,0.570,0.129
232,0,7.700,0.88,1,0.569838,0.123618,-0.812406,0.458095,0.102302,-0.882997,0.545,0.132
233,0,7.733,0.77,1,0.554523,0.127251,-0.822382,0.436892,0.114973,-0.892136,0.524,0.140
234,0,7.767,0.88,1,0.586049,0.134927,-0.798963,0.469822,0.115500,-0.875173,0.563,0.148
235,0,7.800,0.88,1,0.558711,0.134623,-0.818364,0.446822,0.115899,-0.887084,0.533,0.146
236,0,7.833,0.88,1,0.610496,0.140693,-0.779423,0.500771,0.119753,-0.857256,0.596,0.158
237,0,7.867,0.98,1,0.580008,0.142243,-0.802096,0.469298,0.123419,-0.874373,0.559,0.157
238,0,7.900,0.88,1,0.540952,0.113752,-0.833325,0.423406,0.097983,-0.900626,0.508,0.122
239,0,7.933,0.98,1,0.453393,0.066155,-0.888852,0.326038,0.048427,-0.944116,0.402,0.062
240,0,7.967,0.98,1,0.344878,0.047740,-0.937433,0.208866,0.027479,-0.977558,0.281,0.039
241,0,8.000,0.88,1,0.622842,0.127842,-0.771831,0.511481,0.119490,-0.850946,0.610,0.151
242,0,8.033,0.98,1,0.608456,0.121242,-0.784272,0.502310,0.111489,-0.857470,0.595,0.141
243,0,8.067,0.98,1,0.615574,0.119072,-0.779032,0.510020,0.112806,-0.852733,0.604,0.141
244,0,8.100,0.98,1,0.640518,0.104140,-0.760849,0.536377,0.101609,-0.837840,0.635,0.128
245,0,8.133,0.98,1,0.642067,0.070967,-0.763357,0.536163,0.070157,-0.841194,0.633,0.088
246,0,8.167,0.98,1,0.637971,0.058249,-0.767854,0.533544,0.060356,-0.843616,0.629,0.073
247,0,8.200,0.98,1,0.637876,0.060325,-0.767772,0.533149,0.062746,-0.843691,0.628,0.076
248,0,8.233,0.98,1,0.639871,0.055159,-0.766500,0.531703,0.058890,-0.844881,0.629,0.071
249,0,8.267,0.98,1,0.632734,0.060512,-0.772001,0.526800,0.065241,-0.847482,0.621,0.077
250,0,8.300,0.98,1,0.630665,0.058599,-0.773840,0.523399,0.063288,-0.849734,0.618,0.075
251,0,8.333,0.98,1,0.639145,0.061981,-0.766585,0.529679,0.066577,-0.845581,0.627,0.080
252,0,8.367,0.98,1,0.648283,0.054246,-0.759465,0.538539,0.057223,-0.840656,0.638,0.070
253,0,8.400,0.98,1,0.665286,0.043810,-0.745302,0.560721,0.048193,-0.826601,0.662,0.058
254,0,8.433,0.98,1,0.674372,0.027351,-0.737885,0.572559,0.032547,-0.819218,0.675,0.038
255,0,8.467,0.88,1,0.690968,0.038457,-0.721862,0.596169,0.041298,-0.801796,0.701,0.052
